[Wed Nov 28 17:40:32.437300 2018] [:error] [pid 458085] [client 200.194.24.135:60323] PHP Notice:  A session had already been started - ignoring session_start() in /home/voz/Core/MasterDom.php on line 901, referer: https://voz.amovil.mx/principal
[Wed Nov 28 17:40:32.437305 2018] [:error] [pid 458085] [client 200.194.24.135:60323] PHP Notice:  A session had already been started - ignoring session_start() in /home/voz/Core/MasterDom.php on line 901, referer: https://voz.amovil.mx/principal
[Wed Nov 28 17:40:32.919508 2018] [:error] [pid 457999] [client 200.194.24.135:60326] PHP Notice:  A session had already been started - ignoring session_start() in /home/voz/Core/MasterDom.php on line 901, referer: https://voz.amovil.mx/Reporte
[Wed Nov 28 17:40:32.920354 2018] [:error] [pid 457999] [client 200.194.24.135:60326] PHP Notice:  Accessing static property Core\\Database::$_mysqli as non static in /home/voz/Core/Database.php on line 51, referer: https://voz.amovil.mx/Reporte
[Wed Nov 28 17:40:32.920366 2018] [:error] [pid 457999] [client 200.194.24.135:60326] PHP Notice:  Accessing static property Core\\Database::$_mysqli as non static in /home/voz/Core/Database.php on line 52, referer: https://voz.amovil.mx/Reporte
[Wed Nov 28 17:40:32.920378 2018] [:error] [pid 457999] [client 200.194.24.135:60326] PHP Notice:  Accessing static property Core\\Database::$_mysqli as non static in /home/voz/Core/Database.php on line 214, referer: https://voz.amovil.mx/Reporte
[Wed Nov 28 17:40:35.127174 2018] [:error] [pid 457999] [client 200.194.24.135:60326] PHP Notice:  Accessing static property Core\\Database::$_mysqli as non static in /home/voz/Core/Database.php on line 214, referer: https://voz.amovil.mx/Reporte
[Wed Nov 28 17:40:47.920335 2018] [:error] [pid 458657] [client 200.194.24.135:54303] PHP Notice:  Undefined index: customer_id in /home/voz/public_html/index.php on line 7
[Wed Nov 28 17:40:48.314591 2018] [:error] [pid 458657] [client 200.194.24.135:54303] PHP Notice:  Undefined index: customer_id in /home/voz/public_html/index.php on line 7, referer: https://voz.amovil.mx/
[Wed Nov 28 17:41:01.014942 2018] [:error] [pid 457912] [client 200.194.24.135:60325] PHP Notice:  A session had already been started - ignoring session_start() in /home/voz/Core/MasterDom.php on line 901
[Wed Nov 28 17:41:01.014974 2018] [:error] [pid 457912] [client 200.194.24.135:60325] PHP Notice:  A session had already been started - ignoring session_start() in /home/voz/Core/MasterDom.php on line 901
